X;Y;Z
-37;7;1034
-34;11;1032
-40;6;1029
-39;9;1035
-38;11;1036
-33;6;1032
-38;7;1036
-34;11;1038
-42;10;1034
-34;19;1061
-34;13;1041
-34;13;1033
-35;8;1031
-38;11;1037
-38;10;1035
-31;13;1036
-37;10;1033
-36;11;1035
-35;10;1038
-36;10;1039
-37;8;1030
-34;11;1033
-35;12;1040
-41;11;1038
-38;9;1035
-35;6;1044
-38;12;1041
-37;8;1032
-37;10;1034
-35;14;1034
-35;10;1043
-41;7;1031
-38;8;1043
-35;11;1033
-35;8;1043
-34;9;1041
-38;10;1039
-35;12;1038
-36;5;1038
-37;9;1035
-35;14;1035
-40;10;1043
-33;7;1041
-37;10;1035
-37;12;1036
-39;7;1033
-38;9;1037
-37;12;1039
-36;12;1036
-39;12;1038
-34;11;1038
-36;10;1032
-41;11;1035
-35;12;1039
-41;8;1041
-37;11;1037
-36;14;1039
-38;12;1032
-37;16;1036
-35;7;1033
-35;11;1030
-35;10;1032
-36;13;1036
-40;10;1036
-35;10;1039
-33;9;1037
-35;13;1038
-37;14;1037
-34;7;1038
-35;13;1040
-39;9;1045
-36;12;1036
-36;8;1040
-38;9;1034
-35;8;1036
-37;11;1041
-41;9;1040
-35;8;1037
-36;14;1038
-35;11;1034
-37;9;1035
-36;7;1039
-38;9;1039
-34;9;1035
-39;14;1036
-37;12;1032
-36;8;1036
-34;8;1036
-35;16;1036
-34;12;1039
-36;9;1040
-30;10;1034
-34;9;1034
-34;16;1042
-36;8;1035
-38;8;1034
-34;14;1039
-34;7;1039
-38;8;1039
-34;11;1037
-39;9;1035
-39;12;1031
-37;7;1035
-39;15;1036
-36;7;1037
-36;9;1031
-36;11;1035
-37;12;1035
-37;13;1037
-38;16;1041
-37;13;1039
-36;9;1034
-36;12;1037
-34;12;1040
-38;8;1038
-38;12;1037
-37;9;1036
-40;7;1037
-38;10;1040
-36;14;1035
-38;11;1038
-35;9;1037
-35;12;1028
-34;14;1036
-38;7;1036
-36;12;1042
-35;9;1041
-37;9;1040
-36;11;1037
-37;8;1039
-37;11;1037
-37;15;1035
-36;7;1035
-37;11;1038
-34;8;1038
-38;8;1042
-37;7;1034
-37;10;1036
-36;11;1040
-36;8;1033
-39;8;1036
-37;11;1040
-37;9;1033
-38;9;1036
-35;9;1038
-37;10;1040
-36;7;1042
-33;8;1040
-39;13;1040
-37;11;1039
-38;9;1043
-33;10;1037
-36;13;1032
-35;14;1039
-36;10;1039
-35;10;1038
-35;9;1041
-39;9;1038
-37;10;1036
-37;7;1033
-35;12;1037
-36;13;1043
-37;12;1043
-39;9;1031
-36;11;1032
-36;10;1041
-37;11;1034
-37;11;1039
-38;14;1034
-35;9;1036
-35;10;1036
-35;9;1037
-37;11;1041
-35;13;1037
-39;11;1039
-37;13;1036
-36;12;1036
-39;13;1038
-42;10;1035
-32;13;1033
-41;14;1041
-34;10;1035
-35;10;1035
-38;11;1037
-37;12;1039
-37;13;1038
-37;12;1048
-33;12;1039
-39;9;1035
-40;12;1040
-41;11;1036
-34;9;1031
-33;11;1031
-37;13;1041
-37;7;1036
-36;11;1036
-39;13;1041
-40;14;1035
-33;7;1035
-35;13;1039
-34;10;1033
-35;13;1033
-39;13;1036
-39;14;1037
-38;10;1038
-35;10;1034
-36;7;1036
-40;15;1040
-37;11;1038
-38;13;1045
-38;8;1038
-34;10;1042
-38;7;1032
-37;12;1027
-34;8;1032
-37;10;1034
-38;13;1035
-33;8;1035
-36;8;1037
-36;12;1037
-40;9;1043
-34;9;1034
-36;11;1037
-38;11;1040
-36;6;1045
-41;12;1033
-35;9;1035
-36;11;1037
-38;16;1039
-35;10;1038
-36;13;1037
-35;11;1041
-36;9;1034
-39;11;1035
-41;7;1033
-41;13;1039
-36;16;1044
-37;10;1034
-39;9;1034
-38;17;1033
-34;10;1036
-34;10;1030
-35;10;1039
-35;11;1035
-39;5;1038
-35;12;1035
-36;7;1032
-42;7;1034
-37;13;1040
-41;11;1035
-36;6;1036
-37;10;1035
-39;10;1038
-37;10;1043
-40;9;1037
-36;11;1032
-37;10;1035
-36;5;1037
-39;14;1040
-37;9;1032
-39;11;1035
-35;12;1042
-39;9;1034
-35;12;1038
-40;10;1039
-37;13;1032
-33;14;1035
-35;14;1039
-34;9;1031
-38;7;1040
-35;10;1043
-32;10;1037
-37;10;1036
-38;12;1040
-36;9;1037
-36;8;1033
-40;10;1032
-37;11;1034
-36;12;1036
-39;9;1036
-34;12;1034
-35;13;1034
-35;15;1032
-37;10;1036
-36;14;1036
-40;11;1040
-35;10;1038
-41;12;1035
-37;8;1045
-34;10;1037
-37;9;1036
-37;10;1037
-41;9;1044
-37;14;1037
-39;10;1030
-35;10;1040
-37;12;1034
-36;10;1030
-39;14;1041
-38;10;1040
-35;11;1035
-35;9;1032
-40;11;1031
-38;9;1032
-36;9;1032
-39;14;1037
-32;10;1038
-37;11;1035
-35;14;1040
-33;12;1035
-38;8;1030
-36;11;1036
-37;10;1041
-37;11;1035
-36;10;1029
-33;10;1036
-40;11;1034
-38;11;1036
-40;11;1032
-34;11;1037
-36;6;1038
-41;9;1039
-38;10;1039
-38;12;1035
-36;5;1044
-35;11;1036
-35;8;1040
-36;11;1033
-39;13;1037
-37;9;1035
-39;8;1047
-37;10;1073
-35;6;1038
-33;12;1032
-40;13;1069
-39;10;1053
-37;8;1044
-37;9;1035
-36;10;1033
-38;8;1038
-31;12;1038
-37;13;1036
-40;7;1039
-34;10;1038
-40;11;1035
-33;13;1034
-33;9;1034
-34;12;1034
-40;14;1042
-33;11;1036
-38;12;1041
-36;10;1034
-36;8;1042
-35;11;1035
-35;13;1035
-43;14;1042
-39;10;1030
-36;13;1037
-34;13;1040
-35;13;1026
-39;10;1057
-39;6;1032
-34;8;1035
-41;15;1039
-37;15;1034
-37;10;1032
-39;10;1037
-37;11;1038
-36;13;1036
-37;15;1040
-39;8;1036
-36;13;1031
-35;10;1042
-37;12;1048
-41;10;1041
-35;14;1043
-37;10;1036
-38;12;1037
-41;9;1035
-35;10;1038
-37;8;1044
-38;15;1039
-37;13;1034
-36;16;1032
-35;10;1043
-35;10;1041
-35;10;1032
-38;9;1036
-41;10;1039
-36;12;1037
-39;11;1033
-35;9;1041
-37;12;1037
-35;12;1036
-38;11;1035
-42;15;1038
-41;12;1039
-36;14;1037
-35;11;1033
-36;14;1040
-37;9;1035
-38;14;1031
-41;9;1044
-37;10;1038
-38;12;1034
-39;12;1040
-38;9;1035
-39;14;1036
-41;10;1033
-35;10;1038
-35;8;1033
-37;10;1044
-41;14;1036
-35;7;1035
-37;11;1039
-36;15;1032
-33;9;1035
-36;15;1040
-36;7;1035
-39;11;1040
-39;11;1041
-41;12;1039
-35;13;1040
-33;8;1032
-38;11;1039
-36;10;1039
-38;10;1039
-34;13;1036
-39;13;1039
-37;11;1034
-38;9;1033
-37;14;1029
-41;10;1035
-39;11;1037
-35;12;1047
-31;0;1016
-29;12;1036
-42;22;1032
-35;10;1035
-34;8;1031
-35;7;1033
-35;12;1031
-36;9;1036
-34;12;1041
-36;13;1031
-36;10;1034
-35;10;1038
-40;11;1039
-39;0;1122
-40;2;1080
-31;-12;1054
61;-161;1048
98;-34;1205
148;-56;1168
-342;118;962
-322;71;896
-474;-5;833
-570;13;855
-594;36;780
-597;-20;714
-767;43;634
-836;-119;481
-876;0;389
-945;-7;257
-904;-22;393
-926;-24;302
-949;-9;251
-965;21;154
-960;18;162
-984;3;61
-985;11;49
-974;8;74
-935;-2;249
-944;-4;218
-967;-17;129
-922;-20;303
-958;0;169
-958;2;128
-984;-7;37
-980;9;16
-979;10;38
-949;3;174
-970;6;104
-948;12;188
-968;5;113
-950;29;192
-990;9;45
-987;8;84
-954;2;52
-968;-6;138
-977;4;103
-967;17;142
-973;78;-49
-1018;29;54
-976;61;-92
-959;10;24
-979;53;-43
-969;13;25
-988;-26;19
-1005;25;36
-990;-36;-52
-942;35;-37
-968;19;19
-909;-7;-13
-968;-4;-17
-973;3;22
-978;-2;-6
-986;14;26
-954;-4;44
-977;5;0
-982;-30;114
-978;16;52
-963;22;179
-933;38;173
-931;9;261
-938;3;244
-938;10;283
-949;15;270
-915;13;310
-811;10;650
-854;26;499
-835;6;537
-862;18;487
-805;-6;617
-814;19;562
-849;28;523
-773;-3;558
-794;-2;595
-781;19;596
-725;141;601
-761;-15;734
-754;10;675
-754;10;668
-763;15;670
-768;11;670
-743;5;663
-747;16;663
-741;9;661
-734;16;680
-765;32;667
-777;31;654
-740;1;677
-765;28;650
-796;10;639
-805;32;587
-825;27;536
-739;31;658
-886;60;528
-907;0;513
-886;68;479
-646;177;569
-510;213;738
-841;61;534
-829;75;544
-834;69;536
-830;74;552
-844;63;537
-813;67;557
-806;77;553
-722;83;604
-615;57;425
-794;117;544
-800;115;579
-744;116;543
-811;127;559
-752;42;601
-768;94;591
-796;111;596
-796;109;588
-793;113;586
-798;116;594
-788;114;591
-797;109;590
-795;111;595
-793;111;591
-782;111;603
-783;106;608
-782;111;612
-774;106;609
-756;103;630
-710;94;580
-741;98;665
-539;62;411
-1078;100;994
-1075;-40;981
-1307;61;1038
-528;92;1046
-406;2;874
-407;39;1023
-332;19;878
-320;31;952
-303;34;956
-266;3;986
-207;39;1044
-293;19;948
-215;26;1027
-216;36;1005
-217;35;985
-309;-9;1041
-81;113;1029
26;135;1066
-270;-143;1064
-87;111;939
-565;-46;1000
-421;326;1254
-471;139;847
-763;195;692
-509;135;585
-762;401;517
-567;340;408
-550;348;309
-583;453;458
-462;403;618
-566;379;732
-512;344;780
-580;502;615
-316;625;725
-397;620;670
-706;480;664
-456;427;563
-695;426;680
-710;343;600
-621;441;654
-714;376;625
-676;357;630
-805;249;613
-740;292;563
-725;239;562
-789;188;589
-897;168;570
-855;158;560
-707;193;592
-1018;-2;606
-750;142;594
-835;97;608
-874;116;581
-792;102;576
-845;73;561
-787;103;596
-798;84;499
-821;55;668
-820;73;645
-892;125;646
-739;131;660
-679;316;629
-684;380;674
-556;505;665
-549;628;599
-475;690;493
-509;711;339
-449;719;277
-357;778;364
-338;808;457
-351;775;858
-351;815;462
-363;807;389
-443;747;487
-611;673;579
-486;749;520
-436;764;484
-414;772;478
-425;763;493
-455;737;514
-490;711;532
-478;733;510
-457;747;509
-451;750;505
-456;737;515
-467;721;536
-475;719;550
-460;730;515
-458;719;526
-454;726;529
-460;719;544
-466;721;547
-464;704;560
-452;708;559
-452;691;566
-449;695;584
-449;697;555
-441;707;606
-439;766;548
-438;728;551
-366;845;417
-324;741;552
-328;814;464
-395;837;401
-370;839;494
-370;883;448
-313;827;494
-368;855;425
-378;828;459
-387;821;435
-347;847;402
-375;828;437
-385;814;461
-396;814;445
-385;819;443
-381;825;444
-379;825;449
-387;820;445
-383;820;447
-384;821;435
-391;822;442
-382;820;446
-383;824;441
-384;819;455
-389;821;451
-382;823;446
-386;820;444
-384;824;444
-386;825;443
-388;819;449
-385;820;451
-382;825;451
-382;823;450
-385;819;450
-383;823;439
-384;820;445
-386;819;448
-400;873;433
-400;825;394
-396;825;446
-383;832;455
-379;830;440
-385;824;441
-385;818;450
-379;824;453
-387;827;448
-381;821;448
-381;824;449
-385;820;438
-385;820;442
-384;826;445
-385;820;446
-381;824;450
-384;823;447
-385;821;445
-382;823;447
-384;825;448
-380;822;446
-384;822;448
-380;822;444
-385;824;454
-382;817;445
-383;824;440
-384;823;442
-385;823;451
-384;822;448
-384;820;448
-382;823;449
-383;819;450
-382;823;439
-384;822;446
-379;822;446
-383;822;449
-383;823;445
-387;821;451
-385;823;450
-381;822;453
-385;820;446
-382;824;452
-379;821;453
-385;820;447
-383;824;448
-383;827;444
-387;822;447
-384;823;453
-382;824;448
-384;822;451
-383;826;446
-428;803;440
-238;903;456
-512;784;358
-469;734;404
-402;548;237
-788;342;265
-942;666;646
-834;300;435
-592;332;463
-928;204;384
-782;177;410
-1001;310;503
-901;171;353
-880;-48;226
-1005;-147;191
-943;-55;327
-920;9;298
-872;110;283
-1844;132;540
-1262;-86;111
-819;-73;262
-862;-56;217
-851;-50;55
-671;176;-251
-961;6;97
-950;-1;157
-980;98;-9
-983;-3;181
-939;25;126
-939;5;148
-968;48;198
-955;46;195
-946;-123;56
-972;3;58
-1241;86;30
-972;-1;95
-940;-1;83
-928;-4;41
-925;-40;-67
-903;87;-562
-911;-38;-265
-894;-1;-241
-927;-27;-220
-897;25;-246
-327;-23;-644
-1027;63;-298
-920;-51;-267
-975;9;122
-975;44;161
-1021;25;52
-924;-30;101
-976;-28;88
-978;10;36
-961;-7;81
-962;-3;80
-974;3;36
-967;79;90
-1053;-132;285
-845;-49;65
-860;-165;437
-930;60;205
-949;9;209
-991;-14;281
-909;-65;230
-958;36;153
-943;78;225
-1033;21;325
-901;6;457
-886;-10;406
-892;39;323
-282;-39;1212
-899;0;463
-886;6;448
-885;5;447
-883;3;441
-881;9;440
-884;6;443
-884;8;437
-879;6;438
-884;8;439
-885;4;438
-880;5;447
-883;5;440
-882;4;439
-883;5;437
-883;4;442
-881;8;438
-884;8;440
-882;4;437
-882;4;439
-882;6;443
-883;1;440
-876;3;437
-866;27;430
-871;5;441
-878;-2;438
-881;2;436
-882;8;438
-884;9;436
-884;8;447
-886;3;443
-884;6;437
-880;9;442
-883;4;437
-884;5;446
-882;3;439
-886;4;440
-881;4;441
-880;5;442
-881;6;443
-880;11;438
-885;3;438
-879;7;442
-883;3;442
-886;5;437
-880;1;437
-884;3;435
-882;7;438
-883;6;444
-881;4;437
-882;5;435
-882;3;439
-882;6;447
-885;7;439
-884;6;442
-880;8;432
-884;5;445
-882;3;438
-884;7;441
-881;6;443
-882;8;441
-885;8;436
-881;10;441
-886;6;434
-886;9;439
-881;3;435
-882;6;444
-881;4;439
-884;0;440
-885;6;441
-881;5;443
-882;6;438
-882;10;436
-877;2;437
-881;8;438
-880;5;441
-882;7;442
-882;3;443
-884;5;443
-882;6;440
-882;8;436
-880;4;440
-882;6;440
-884;0;439
-882;9;442
-877;8;443
-886;7;437
-887;5;441
-884;7;439
-883;7;440
-882;3;440
-882;4;437
-882;5;439
-878;9;440
-883;7;439
-881;8;445
-879;6;442
-881;5;441
-881;9;438
-885;8;437
-880;3;440
-882;6;443
-883;4;443
-883;3;446
-880;4;439
-882;7;434
-884;2;442
-882;6;441
-879;1;443
-878;7;438
-878;6;435
-882;5;442
-886;4;444
-880;7;441
-881;5;446
-882;3;440
-884;2;440
-878;4;440
-882;6;437
-881;0;437
-883;4;435
-879;9;435
-882;5;439
-883;4;442
-883;6;443
-878;8;435
-882;6;436
-883;9;438
-879;6;440
-885;1;444
-882;4;443
-879;6;435
-880;7;440
-883;5;438
-881;4;442
-879;6;436
-879;5;443
-881;9;441
-880;6;439
-881;5;440
-885;8;437
-879;5;443
-885;4;443
-881;6;442
-879;6;436
-886;6;444
-881;2;437
-882;2;442
-886;4;442
-884;11;441
-881;5;437
-885;4;433
-883;8;451
-882;10;447
-883;3;435
-881;8;443
-882;6;441
-880;4;441
-881;2;445
-888;5;438
-881;7;443
-882;3;439
-879;2;449
-882;5;437
-879;5;442
-882;5;441
-879;5;444
-884;4;440
-876;7;443
-882;1;441
-879;2;437
-883;5;439
-884;6;443
-882;8;438
-884;6;442
-885;4;446
-887;4;438
-882;8;438
-881;4;447
-883;7;437
-881;6;433
-884;7;445
-881;6;437
-884;5;442
-882;8;448
-883;3;439
-884;0;436
-888;5;453
-881;3;443
-882;6;448
-884;7;439
-885;4;442
-884;7;442
-869;8;451
-873;-1;444
